code,title,subjects,credits,description
BIOS207,LAB I,biology,2,"The course aims to bring together and synthesize the various concepts taught in the Biochemistry and Microbiology courses, to enable a better understanding of these subjects through practical application. The practicals will include instruction in basic laboratory procedures, such as the maintenance and use of a laboratory journal, acquaintance with basic laboratory rules and safety regulations, the preparation of solutions and buffers, the measurement of mass and pH, calculation of solution concentrations as normality, molarity, molality, or as mass/volume, volume/volume etc, the preparation of solutions and buffers, the estimation of error in measurements of mass, volume, pH and other variables*, the use of basic laboratory glassware/plasticware and instruments, the extraction and estimation of protein or DNA in solution, the use of the compound- and stereo-microscopes, the gram staining of bacteria, the preparation of bacterial media (Luria Bertani or another), the sterilization of labware and media, the preparation of culture plates, the inoculation and culture of media by various means, and the extraction and analysis of bacterial deoxyribonucleic acid by chromatography. The course may also include exercises in the laboratory using data drawn from the literature.
*Instruction in the estimation of error will be provided in PHYS lab classes intended for PHYS, CHEM, and BIOS students."
BIOS217,Microbiology,biology,4,"The course is designed for a college level audience, and is intended as a comprehensive foundation for advanced courses that students may opt for in the future. Course topics will be contemporary, and will focus on conceptual understanding and not encyclopedic detail. The course will involve the study of microbes of the various taxa, viz viruses, protozoans, bacteria, algae, and fungi, their place in the evolutionary order of things, their diversity and distribution, and their relevance in the Anthropocene. The course will use a bacterial-centric approach in its treatment of microbial taxonomy, metabolism, genetics, multiplication, and growth. Industrial, agricultural, environmental, and clinical applications and value will be highlighted wherever relevant using microbial archetypes; this will include certain clinically important pathogens and their control, fermentation as an industrial process, the use of engineered microbes in waste processing and pollution control, and agricultural pests and pest controls. The contribution of microbes to human health (as the microbiome, and as probiotics), and societal and environmental health (as degraders of waste) will be discussed. Students will be taught to isolate bacteria from their surroundings, and to examine, identify, propagate, and preserve them. Emphasis will be placed on bacterial genetics, especially the bacterial extra-chromosomal DNA (the plasmid) and its centricity in recombinant DNA techniques or genetic engineering. The course will enable the student to understand the multitudes of microbes cohabiting with humans, and the nature and degree of interaction between the two. Care will be taken to cross-reference concepts taught in this course with relevant concepts taught in earlier courses."
BIOS218,Biochemistry,biology,4,"The course is intended for second year undergraduate students and is meant to be an introduction to the physical and chemical principles that underlie and underpin the biology of organisms. The course will help students understand the molecular logic of life; it will enable them to find answers to questions pertaining to the various aspects of a biological system; these are some samples. How, in biological systems, is energy created or captured, stored, and transmuted, and how is the need for energy sensed? What are the energetic and kinetic bases of a biochemical reaction, which is in turn a unit of a physiological process? How are the various biomolecules synthesized and degraded, and how is the balance between anabolism and catabolism maintained? What are the guiding principles of this homeostasis? How are the various physiological processes orchestrated and synchronized at the level of the system? How does a bodily fluid such as blood act as a buffer, and how is this physiologically important? What are the various classes of biomolecules that make up molecular superstructures, and how do their structures help them perform their function? Instruction in the above will help the student to begin to learn to interpret experimental data, and to better understand biochemical research."
BIOS219,Comparative Genomics of Bacteria,biology,4,"Bacteria are the most dominant forms of cellular life on earth. Their ability to adapt to the entire gamut of environments
on our planet is coded somehow in their DNA. We will discuss how this fascinating kingdom of life adapts to its
circumstances by studying the structure, organisation and evolution of their genomes. We will take a conceptual and
computational approach towards these aims. A particular goal of this course will be to help students conceptualise,
design and implement (at least in part) a mini-project analysing bacterial genomes."
BIOS221,Genetics,biology,4,"From classical to molecular genetics, this course seeks to provide a close understanding of the processes involved in heredity. Beginning with the famous experiments undertaken by Gregor Mendel in the early 1860s, we move to the rediscovery of his work in 1900 and its employment in the elucidation of such aspects as linkage and crossing over, as well as chromosomal aberrations and mutations. The molecular basis for genetics finds root in the Evolutionary Synthesis and foundational work involving the implication of nucleic acid as genetic material. In this context, we study the chemical nature, physico-chemical structure and replication of DNA. Both DNA and RNAs are considered in their combined role for protein synthesis. The elucidation of the genetic code and the mechanism and regulation of gene action, such as with the operon model are investigated and their implications considered. Extrachromosomal inheritance will be treated as well. The course concludes with the promise and perils of genetic engineering (Recombinant DNA) and its applications, including, controversially, gene editing and cloning."
BIOS222,Plant Diversity and Reproduction,biology|environmental studies,4,"This course is a primer to plant life, covering what comprises the plant Kingdom, how to identify different plants, and how plants reproduce. The first part of the course will explore the diversity of plants from algae to angiosperms. This will include discussions of plant evolution and phylogeny, how and when the first land plants arrived, how plants are classified, and how to identify broad groups of plants including some common Families of angiosperms. We will also explore morphological, anatomical, physiological and other adaptations of plants that allow them to grow in diverse environmental conditions. The second part of the course will focus on the different reproductive strategies of various groups of plants. Some aspects unique to plant reproduction will be discussed, such as alternation of generations in lower plants, and monoecy, dioecy, pollination strategies, double fertilization and embryogenesis in higher plants."
BIOS223,Advanced Cell Biology,biology,4,"The Advanced Cell Biology course builds upon the foundational Cell and Molecular Biology course and is a deeper dive into the working of the cell in the context of a system. The course is a problem and exercise based approach to understanding specific aspects of the cell in the context of its physiological milieu and system (Human/Animal). The course will begin where the Basic cell and molecular biology (BIOS 205) course ended. This is an ideal and probably very important subject for students who want to pursue MSc/PhD and want to build a career in research in an academic or industrial setting. This course will connect with other areas of bioscience (microbiology, physiology, Immunology) to understand the connections between these related areas. It will delve into the cross talk among different cell types across tissue/organs and their role in health and diseases.
The syllabus include,
Visualizing and analyzing molecules, cells, and systems (contd from BIOS 205)
The Cell Cycle: its control and regulation; aberrations in its control and the consequent effect on the cell and system; growth, development, differentiation.
Cell death; apoptosis and programmed cell death, autophagy, senescence; stem cells and cell lineages
The evolution of the rogue cell and its contextual behavior
Cell signaling archetypes in eukaryotic cells and systems; their control and regulation; redundancy; defects in signaling systems and their ramifications, as in NCDs
Drug discovery and delivery : Current trends"
BIOS224,Evolution,biology,4,"How did life first arise on Planet Earth 4 billion years ago? In this course, which comprises both organismal and molecular evolution, we will begin with early theories of evolution that lead up to Darwin and Wallace's theory of natural selection. We thus gain insight into the process of scientific inquiry that resulted in one of the most important theories in the biological sciences, before concluding by integrating it with Mendel's theory of genetics referred to as the Evolutionary Synthesis. The course will look at the evidence of macro and micro evolutionary processes, and the evolution of plants and animals to understand the basis of the diversity of living organisms on Earth. Through numerous examples, students will learn about adaptive strategies at the level of individual organisms that may underlie evolutionary changes at the level of a population. At a molecular level, we trace the evolution of life, starting from self-replicating molecules, to the RNA world, to the evolution of cellular components. Along the way we will discuss the role played by the constituent molecules of life. We will discuss the origin of the field of molecular genetics from the Evolutionary Synthesis, bringing the disparate fields of evolutionary biology and genetics together. We will discuss the development and employment of the molecular clock and the salience of neutral mutations in establishing relatedness among organisms, using such markers as mitochondrial, chloroplast, ribosomal and nuclear genetic material, aided considerably by such technological advancements as protein electrophoresis, leading to the amplification of DNA using the polymerase chain reaction (PCR) for whole genome sequencing. This course will briefly discuss how the sequence information comes together with the current computational power to draw the phylogenetic tree of life."
BIOS226,Form and Function,biology,4,"In this course, we examine biological systems through the lenses of anatomy (structure) and physiology (function), that make life possible across scales of complexity - from the simplest forms to the most intricate. Through this approach, all courses that we have encountered so far will be considered in establishing how we can begin to comprehend what life, in a biological sense, means. Apart from such familiar systems as encountered in school (the digestive, respiratory, circulatory, excretory, nervous and reproductive, for instance), we explore concepts like homoeostasis and thermoregulation."
BIOS227,Biostatistics,biology|environmental studies|psychology,4,"This course will equip students broadly interested in the biological sciences and allied disciplines to develop fundamental skills for managing, exploring and analyzing data, and interpreting and communicating findings. The course provides a hands-on learning experience using data from multiple fields of study to master basic statistical tools widely used in the discipline and become familiar with the range of advanced quantitative tools to inform avenues for further specialization. The course will introduce students to basic and advanced programming techniques in R, which is rapidly becoming the programming language of choice for biostatistical applications, and will train them in using R to carry out common statistical analyses. In addition to imparting skills to quantify single variables and relationships between multiple variables, the course will use real-world datasets to help students learn how to deal with noisy data, uncertainty of findings and ethical concerns that are common to the discipline."
BIOS228,Genetics and Cell Biology Lab,biology,2,"The course will bring together various topics in Genetics and Advanced Cell Biology. The portion on genetics will include procedures and experiments using the fruit-fly Drosophila melanogaster as the model organism, for instance the observation of wild type and mutant characteristics using the compound and stereo microscopes, the culture of Drosophila, the longitudinal observation of their life-cycles, the proper and meticulous use of a lab notebook/ journal, computational exercises in phylogeny, and, time permitting, recombinant DNA techniques. The Advanced Cell Biology course will include procedures for nucleic acid analysis including nucleic acid extraction, chromatography, and quantitative PCR, and for protein analysis by chromatography."
BIOS229,Chemistry for Biologists,biology,4,"Chemistry for biologists: This course introduces students to the fundamental principles of chemistry with an explicit focus on their relevance to biological systems. Topics are motivated by examples drawn from cell biology, physiology, biochemistry, and microbiology. Experimental demonstrations and in-class problem-solving exercises connect chemical principles to the phenomena students encounter in their biology courses. The course has been designed to give biology majors the quantitative and conceptual chemical foundation necessary for advanced study in biochemistry, molecular biology, microbiology, pharmacology, and biomedical research"
BIOS230,Physics for Biologists,biology,4,"Physics for biologists: The course uses basic biophysical concepts and experimental illustrations to explaining the physical principles that govern biological systems at the molecular level. The course combines classroom teaching with discussion of scientific observations that concur with theories. The course also aims to illustrate how various biomolecules behave as outliers, allowing for modification of these theories while providing a biophysical explanation for their behavior."
BIOS231,Ways of Knowing: Instrumentation in Biology,biology|chemistry,4,
BIOS232,Ways of Knowing: Methods and Communication,biology,4,"This offering, the other of a two-part course, will use a seminar-style format to expose students to literature in the biological sciences to serve three important and interconnected purposes. The selected pieces of work will expose students to forms of inquiry used in the biological sciences to produce new knowledge and to advance the discipline. Students will also learn multiple types of communication in the discipline. Finally, students will learn to assess critically the work and findings reported in the primary literature. The course will bridge the gap between simplified concepts in standard biology textbooks and the rigour, complexity and uncertainty of findings in the primary literature, including, among others, journals and theses."
BIOS235,Animal Behaviour,biology|environmental studies,4,"This course will begin with an overview of animal behaviour and how it has integrated concepts from many disciplines to advance the field. Next, animal behaviour will be studied from an evolutionary perspective before understanding the bases for the variation in behaviours within and among individuals, populations, and species. With these concepts in mind, a range of behaviours will be examined using case studies. Finally, more complex behaviours related to social interactions among animals will be considered."
BIOS236,Immunology,biology,4,"The course comprises a study of the human defense system against pathogens and disease causing agents. It will start with the genesis of the immune system from the lymphoid cells of bone-marrow tissue, and its maturation. It will go on to the molecular basis for determination of self- and non-self, and how an aberration in this process causes the immune system to go rogue and cause auto-immune disease. The course will center around the humoral and cell-mediated immune responses, of their attendant molecular and cellular events, and how the immune system evolves throughout the lifetime of an individual. It will address different aspects of the immune system such as the genetic control of immunoglobulin gene expression, and antibody production, maturation and diversity, and the roles of the thymus, spleen, and lymph nodes. The modulation or suppression of the immune system for tissue and organ graft will be discussed, as will be the reciprocal effects of disease and the immune system, allergies and the inflammatory response, and the use of the immune-system as therapy against cancer and other diseases as drugs or vaccines. The course will also include the mechanisms pathogens have evolved to evade the immune system, and the state of our knowledge of these systems. The reconstitution of the human immune system in mice will be discussed at length to further enable the student’s understanding of the same."
BIOS241,Ecology and Conservation Biology,biology|environmental studies,4,"This course covers the fundamental principles of ecology and ecosystem dynamics, relating these with evolutionary processes and introducing concepts of disturbance and resilience. The focus is on the principles of life, how it functions at the population, community and ecosystem levels, relating these with adaptations to unique environmental conditions. This course will be split into four interrelated modules. The first module, population ecology, will deal with the fundamental concepts of habitat and niche, population dynamics (e.g., population growth and regulation) and population structure (e.g., metapopulations). The second module, community ecology, will focus on species interactions (e.g., interspecific competition, predation and mutualism), the nature of communities (e.g., community structure and function). The third module, ecosystem ecology, will take a in depth look at ecosystem structure and function (e.g., energy flow and nutrient cycling), ecosystem dynamics (e.g., ecological succession) and major concepts related to biogeography (e.g., the theory of island biogeography and the major biogeographical zones of India). The final module, conservation biology, will bring together the previous modules and show how the field of conservation biology has harnessed the principles of ecology to manage biodiversity. The course will focus on the principles of conservation (e.g., the design and management of protected areas), ecological restoration and will conclude with some important case studies, frorm India and across the globe, that showcase various conservation/management strategies."
